group22	Gmax_01G001100.m1,Gmax_01G001200.m1	group22,group22
group75	Gmax_01G001900.m1,Gmax_01G002100.m1	group75,group75
group138	Gmax_01G006700.m1,Gmax_01G006900.m1	group138,group138
group39	Gmax_01G011000.m1,Gmax_01G011200.m1	group39,group39
group124	Gmax_01G014000.m1,Gmax_01G014100.m1	group124,group124
group25	Gmax_01G015500.m1,Gmax_01G015700.m1,Gmax_01G015800.m1,Gmax_01G016000.m1	group25,group25,group25,group25
group127	Gmax_01G017700.m1,Gmax_01G017800.m1	group127,group127
group183	Gmax_01G021200.m1,Gmax_01G021300.m1	group183,group183
group59	Gmax_01G021500.m1,Gmax_01G021600.m1,Gmax_01G021800.m1	group59,group59,group59
group46	Gmax_01G022600.m1,Gmax_01G022800.m1,Gmax_01G023000.m1	group46,group46,group46
group60	Gmax_01G025200.m1,Gmax_01G025400.m1,Gmax_01G025600.m1	group60,group60,group60
group178	Gmax_01G028600.m1,Gmax_01G028700.m1	group178,group178
group9	Gmax_01G029200.m1,Gmax_01G029300.m1	group9,group9
group152	Gmax_01G031800.m1,Gmax_01G031900.m1	group152,group152
group2	Gmax_01G033200.m1,Gmax_01G033300.m1	group2,group2
group2	Gmax_01G033700.m1,Gmax_01G033800.m1	group2,group2
group23	Gmax_01G033900.m1,Gmax_01G034000.m1,Gmax_01G034100.m1,Gmax_01G034200.m1	group23,group23,group23,group23
group8	Gmax_01G034500.m1,Gmax_01G034600.m1,Gmax_01G034800.m1,Gmax_01G034900.m1,Gmax_01G035000.m1,Gmax_01G035100.m1	group8,group8,group8,group8,group8,group8
group2	Gmax_01G035600.m1,Gmax_01G035900.m1	group2,group2
group34	Gmax_01G036800.m1,Gmax_01G036900.m1,Gmax_01G037000.m1,Gmax_01G037100.m1	group34,group34,group34,group34
group49	Gmax_01G040500.m1,Gmax_01G040600.m1,Gmax_01G040700.m1	group49,group49,group49
group43	Gmax_01G041200.m1,Gmax_01G041500.m1,Gmax_01G041700.m1	group43,group43,group43
group58	Gmax_01G041900.m1,Gmax_01G042000.m1	group58,group58
group166	Gmax_01G049800.m1,Gmax_01G049900.m1	group166,group166
group174	Gmax_01G050400.m1,Gmax_01G050500.m1	group174,group174
group52	Gmax_01G060300.m1,Gmax_01G060500.m1	group52,group52
group106	Gmax_01G067000.m1,Gmax_01G067200.m1	group106,group106
group24	Gmax_01G074500.m1,Gmax_01G074600.m1,Gmax_01G074700.m1,Gmax_01G074800.m1	group24,group24,group24,group24
group82	Gmax_01G075100.m1,Gmax_01G075200.m1	group82,group82
group101	Gmax_01G080800.m1,Gmax_01G080900.m1	group101,group101
group62	Gmax_01G081200.m1,Gmax_01G081400.m1	group62,group62
group161	Gmax_01G084500.m1,Gmax_01G084600.m1	group161,group161
group88	Gmax_01G087300.m1,Gmax_01G087400.m1	group88,group88
group11	Gmax_01G091100.m1,Gmax_01G091200.m1,Gmax_01G091300.m1,Gmax_01G091400.m1,Gmax_01G091600.m1	group11,group11,group11,group11,group11
group185	Gmax_01G106200.m1,Gmax_01G106400.m1	group185,group185
group18	Gmax_01G111300.m1,Gmax_01G111400.m1,Gmax_01G111500.m1,Gmax_01G111600.m1,Gmax_01G112000.m1	group18,group18,group18,group18,group18
group96	Gmax_01G113800.m1,Gmax_01G114000.m1	group96,group96
group76	Gmax_01G114800.m1,Gmax_01G114900.m1	group76,group76
group41	Gmax_01G116900.m1,Gmax_01G117100.m1	group41,group41
group17	Gmax_01G117900.m1,Gmax_01G118000.m1,Gmax_01G118100.m1,Gmax_01G118200.m1,Gmax_01G118300.m1	group17,group17,group17,group17,group17
group182	Gmax_01G118400.m1,Gmax_01G118500.m1	group182,group182
group160	Gmax_01G119500.m1,Gmax_01G119700.m1	group160,group160
group180	Gmax_01G122200.m1,Gmax_01G122300.m1	group180,group180
group19	Gmax_01G124400.m1,Gmax_01G124500.m1,Gmax_01G124600.m1,Gmax_01G124700.m1,Gmax_01G125100.m1	group19,group19,group19,group19,group19
group26	Gmax_01G125800.m1,Gmax_01G126000.m1	group26,group26
group26	Gmax_01G127100.m1,Gmax_01G127300.m1	group26,group26
group36	Gmax_01G128000.m1,Gmax_01G128200.m1,Gmax_01G128300.m1,Gmax_01G128400.m1	group36,group36,group36,group36
group30	Gmax_01G130400.m1,Gmax_01G130500.m1,Gmax_01G130600.m1	group30,group30,group30
group15	Gmax_01G131900.m1,Gmax_01G132000.m1,Gmax_01G132100.m1	group15,group15,group15
group155	Gmax_01G132800.m1,Gmax_01G132900.m1	group155,group155
group6	Gmax_01G133800.m1,Gmax_01G133900.m1,Gmax_01G134000.m1,Gmax_01G134100.m1,Gmax_01G134200.m1,Gmax_01G134300.m1,Gmax_01G134400.m1	group6,group6,group6,group6,group6,group6,group6
group29	Gmax_01G135400.m1,Gmax_01G135600.m1	group29,group29
group123	Gmax_01G136300.m1,Gmax_01G136400.m1	group123,group123
group148	Gmax_01G138800.m1,Gmax_01G139000.m1	group148,group148
group51	Gmax_01G140000.m1,Gmax_01G140200.m1	group51,group51
group10	Gmax_01G141500.m1,Gmax_01G141600.m1	group10,group10
group10	Gmax_01G142000.m1,Gmax_01G142200.m1,Gmax_01G142500.m1	group10,group10,group10
group83	Gmax_01G143600.m1,Gmax_01G143700.m1	group83,group83
group50	Gmax_01G144500.m1,Gmax_01G144600.m1	group50,group50
group21	Gmax_01G145200.m1,Gmax_01G145400.m1	group21,group21
group40	Gmax_01G146100.m1,Gmax_01G146300.m1	group40,group40
group134	Gmax_01G147800.m1,Gmax_01G148000.m1	group134,group134
group21	Gmax_01G148300.m1,Gmax_01G148400.m1	group21,group21
group179	Gmax_01G150200.m1,Gmax_01G150400.m1	group179,group179
group177	Gmax_01G152400.m1,Gmax_01G152600.m1	group177,group177
